acronitol
addi-k
apo-k
celeka
cena-k
chlorid draselny
chloride of potash
chloropotassuril
chlorvescent
cl-k
clk
clor-k-zaf
cloruro de potasio
diffu-k
dipotassium dichloride
durekal
durules
durules-k
emplets potassium chloride
enpott
enseal
epiklor
k tab
k-care
k-contin
k-dur
k-grad
k-lease
k-lor
k-lyte cl
k-norm
k-predne-dome
k-sol
k-sr
k-tab
kadalex
kalcorid
kaleorid
kali chloratum
kali chloridum
kali muriaticum
kaliduron
kaliglutol
kalilente
kalinor-retard p
kalinorm
kalinorm depottab
kaliolite
kalipor
kalipoz
kalitabs
kalitrans retard
kalium duriles
kalium durules
kalium retard
kalium s.r.
kalium sr
kalium-durettes
kalium-r
kaochlor
kaon cl
kato
kay ciel
kay-ciel
kay-em
kayciel
kcl
kcl retard
kcl-retard zyma
keylyte
klor-con
klor-lyte
kloren
klorvess
klotrix
ksr
lento-k
lento-kalium
leo-k
micro-k
miopotasio
monopotassium chloride
muriate of potash
natural sylvite
neobakasal
nu-k
peter-kal
pfiklor
plus kalium retard
potasion
potasol
potassii chloridum
potassium chloride
potassium cl
potassium monochloride
potassium muriate
potavescent
rekawan
repone k
rum-k
slow-k
span-k
steropotassium
super k
ten-k
tripotassium trichloride
