chlorure de sodium
cloruro sodico
common salt
halite
kochsalz
mono-sodium chloride salt
nacl
natrii chloridum
natriumchlorid
rock salt
sodium chloride
sodium chloride salt
sodium-chloride
sodiumchloride
table salt
